Player Name	Age	Position	Current Club
Benjamin Šeško	21	FW,MF	RB Leipzig
Benjamín Domínguez	20	FW	Bologna
Berat Djimsiti	31	DF	Atalanta
Bernardo	29	DF	Bochum
Billy Gilmour	23	MF	Napoli
Bjarki Bjarkason	24	DF,MF	Venezia
Bob Murphy Omoregbe	20	MF	Milan
Borna Sosa	26	DF	Torino
Botond Balogh	22	DF	Parma
Boulaye Dia	27	MF,FW	Lazio
Brenner	24	MF,FW	Udinese
Brooke Norton-Cuffy	20	DF,FW	Genoa
Bryan Cristante	29	MF	Roma
Budu Zivzivadze	30	FW	Heidenheim
Caleb Ekuban	30	FW	Genoa
Can Uzun	18	MF,FW	Eint Frankfurt
Carl Johansson	30	DF	Holstein Kiel
Carlo Boukhalfa	25	MF	St. Pauli
Carlos Augusto	25	DF	Inter
Carney Chukwuemeka	20	MF	Dortmund
Casper Tengstedt	24	FW	Hellas Verona
Castello Lukeba	21	DF	RB Leipzig
Cedric Zesiger	26	DF	Augsburg
Cedric Zesiger	26	DF	Wolfsburg
Cesare Casadei	21	MF	Torino
Charalampos Lykogiannis	30	DF	Bologna
Charles De Ketelaere	23	MF,FW	Atalanta
Che Adams	28	FW	Torino
Cheick Oumar Conde	24	MF	Venezia
Cheikh Tidiane Niasse	24	MF	Hellas Verona
Cher Ndour	20	MF,DF	Fiorentina
Chris Führich	26	MF,FW	Stuttgart
Chrislain Matsima	22	DF	Augsburg
Christian Gytkjær	34	FW	Venezia
Christian Günter	31	DF	Freiburg
Christian Kabasele	33	DF	Udinese
Christian Kouamé	26	FW,MF	Empoli
Christian Kouamé	26	FW,MF	Fiorentina
Christian Pulisic	25	FW,MF	Milan
Christoph Baumgartner	24	MF	RB Leipzig
Christopher Trimmel	37	DF,MF	Union Berlin
Christos Mandas	22	GK	Lazio
Cole Campbell	18	MF,FW	Dortmund
Connor Metcalfe	24	MF,FW	St. Pauli
Cristian Gamboa	34	DF	Bochum
Cristiano Biraghi	31	DF	Fiorentina
Cristiano Biraghi	31	DF	Torino
Cyril Ngonge	24	FW	Napoli
Dailon Livramento	23	FW,MF	Hellas Verona
Damián Pizarro	19	FW,MF	Udinese
Dan Ndoye	23	FW	Bologna
Dan-Axel Zagadou	25	DF,MF	Stuttgart
Danel Sinani	27	FW,MF	St. Pauli
Dani de Wit	26	MF,FW	Bochum
Daniel Bandeira	24	MF	Hellas Verona
Daniel Fila	21	FW	Venezia
Daniel Maldini	22	FW,MF	Atalanta
Daniel Maldini	22	MF,FW	Monza
Daniel Mosquera	24	FW	Hellas Verona
Daniel Oyegoke	21	DF	Hellas Verona
Daniel Peretz	24	GK	Bayern Munich
Daniel Svensson	22	DF,FW	Dortmund
Daniele Baselli	32	MF	Como
Daniele Ghilardi	21	DF	Hellas Verona
Daniele Padelli	38	GK	Udinese
Daniele Sommariva	27	GK	Genoa
Danilho Doekhi	26	DF	Union Berlin
Danilo	33	DF	Juventus
Danilo Cataldi	29	MF	Fiorentina
Danilo D'Ambrosio	35	DF	Monza
Danilo Veiga	21	DF	Lecce
Danny da Costa	31	DF	Mainz 05
Dany Mota	26	FW,MF	Monza
Darko Lazović	33	DF,MF	Hellas Verona
David Akpan Ankeye	22	FW,MF	Genoa
David Jurásek	23	DF	Hoffenheim
David Mokwa	20	DF,FW	Hoffenheim
David Nemeth	23	DF	St. Pauli
David Neres	27	FW	Napoli
David Odogu	18	DF	Wolfsburg
David Preu	19	MF,DF	Union Berlin
David Raum	26	DF	RB Leipzig
David Zec	24	DF	Holstein Kiel
David de Gea	33	GK	Fiorentina
Davide Bartesaghi	18	DF	Milan
Davide Calabria	27	DF	Bologna
Davide Calabria	27	DF	Milan
Davide Faraoni	32	DF	Hellas Verona
Davide Frattesi	24	MF	Inter
Davide Zappacosta	32	DF	Atalanta
Dayot Upamecano	25	DF	Bayern Munich
Dele Alli	28	MF	Como
Denis Thomalla	31	MF	Heidenheim
Denis Vavro	28	DF	Wolfsburg
Deniz Undav	28	FW,MF	Stuttgart
Dennis Geiger	26	MF,FW	Hoffenheim
Dennis Man	25	FW,MF	Parma
Denzel Dumfries	28	DF,FW	Inter
Derrick Köhn	25	DF,FW	Werder Bremen
Devis Vásquez	26	GK	Empoli
Devyne Rensch	21	DF	Roma
Diadie Samassékou	28	MF	Hoffenheim
Diego Coppola	20	DF	Hellas Verona
Diego Pugno	18	FW	Juventus
Dimitris Giannoulis	28	DF	Augsburg
Diogo Leite	25	DF	Union Berlin
Dodô	25	DF	Fiorentina
Domagoj Bradarić	24	DF	Hellas Verona
Domen Črnigoj	28	MF	Venezia
Dominik Javorček	21	DF,MF	Holstein Kiel
Dominik Kohr	30	DF,MF	Mainz 05
Donyell Malen	25	FW,MF	Dortmund
Douglas Luiz	26	MF	Juventus
Drissa Camara	22	MF,FW	Parma
Duván Zapata	33	FW	Torino
Dušan Vlahović	24	FW	Juventus
Edmond Tapsoba	25	DF	Leverkusen
Edoardo Bove	22	MF,FW	Fiorentina
Edoardo Goldaniga	30	DF	Como
El Bilal Touré	22	FW,MF	Stuttgart
El Chadaille Bitshiabu	19	DF	RB Leipzig
Eldor Shomurodov	29	FW,MF	Roma
Elia Caprile	22	GK	Cagliari
Elia Caprile	22	GK	Napoli
Elias Saad	24	FW,MF	St. Pauli
Elif Elmas	24	FW,MF	Torino
Elif Elmas	24	MF	RB Leipzig
Ellyes Skhiri	29	MF	Eint Frankfurt
Elseid Hysaj	30	DF	Lazio
Elvis Rexhbeçaj	26	MF	Augsburg
Elye Wahi	21	FW,MF	Eint Frankfurt
Emanuele Valeri	25	DF	Parma
Emerson	25	DF	Milan
Emi Buendía	27	MF	Leverkusen
Emil Audero	27	GK	Como
Emil Bohinen	25	MF	Genoa
Emil Holm	24	DF	Bologna
Emmanuel Ekong	22	MF,FW	Empoli
Emmanuel Gyasi	30	DF,FW	Empoli
Emre Can	30	DF,MF	Dortmund
Enrico Del Prato	24	DF	Parma
Enzo Ebosse	25	DF	Udinese
Enzo Le Fée	24	MF	Roma
Enzo Millot	22	MF,FW	Stuttgart
Eren Dinkçi	22	MF,FW	Freiburg
Erencan Yardimci	22	FW,MF	Hoffenheim
Erhan Mašović	25	DF	Bochum
Eric Dier	30	DF	Bayern Munich
Eric Smith	27	DF,MF	St. Pauli
Erik Ahlstrand	22	FW,MF	St. Pauli
Ermedin Demirović	26	FW	Stuttgart
Estanis	20	FW	Bologna
Exequiel Palacios	25	MF	Leverkusen
Eybi Nije	19	FW,MF	Torino
Fabian Rieder	22	MF,FW	Stuttgart
Fabiano Parisi	23	DF,MF	Fiorentina
Fabio Chiarodia	19	DF	Gladbach
Fabio Miretti	20	MF,FW	Genoa
Faik Sakar	16	MF	RB Leipzig
Fali Candé	26	DF	Venezia
Fares Chaïbi	21	MF,FW	Eint Frankfurt
Faride Alidou	23	FW,MF	Hellas Verona
Faustino Anjorin	22	MF	Empoli
Federico Accornero	20	MF	Genoa
Federico Barba	30	DF	Como
Federico Baschirotto	27	DF	Lecce
Federico Cassa	18	MF,FW	Atalanta
Federico Dimarco	26	DF,FW	Inter
Federico Gatti	26	DF	Juventus
Federico Ravaglia	24	GK	Bologna
Felix Agu	24	DF	Werder Bremen
Felix Nmecha	23	MF	Dortmund
Felix Passlack	26	DF,MF	Bochum
Fellipe Jack	18	DF	Como
Fikayo Tomori	26	DF	Milan
Filip Marchwiński	22	MF	Lecce
Filip Stankovic	22	GK	Venezia
Filippo Melegoni	25	MF,FW	Genoa
Filippo Terracciano	21	DF,MF	Milan
Finley Stevens	21	DF	St. Pauli
Finn Dahmen	26	GK	Augsburg
Finn Jeltsch	18	DF	Stuttgart
Finn Ole Becker	24	MF	Hoffenheim
Finn Porath	27	DF,MF	Holstein Kiel
Fisayo Dele-Bashiru	23	MF,FW	Lazio
Flavius Daniliuc	23	DF	Hellas Verona
Florent Muslija	26	FW,MF	Freiburg
Florian Grillitsch	28	MF	Hoffenheim
Florian Micheler	19	MF	Hoffenheim
Florian Müller	26	GK	Freiburg
Florian Neuhaus	27	MF	Gladbach
Florian Thauvin	31	FW,MF	Udinese
Florian Wirtz	21	MF,FW	Leverkusen
Florinel Coman	26	FW,MF	Cagliari
Francesco Acerbi	36	DF	Inter
Francesco Camarda	16	FW,MF	Milan
Francesco Caputo	36	FW	Empoli
Francesco Zampano	30	DF	Venezia
Francisco Conceição	21	FW,MF	Juventus
Franck Honorat	27	FW	Gladbach
Franco Carboni	21	DF	Venezia
Frank Feller	20	GK	Heidenheim
Frank Onyeka	26	MF	Augsburg
Frans Krätzig	21	DF	Stuttgart
Frans Krätzig	21	DF,MF	Heidenheim
Frederic Guilbert	29	DF	Lecce
Frederik Rønnow	31	GK	Union Berlin
Fredrik Jensen	26	MF	Augsburg
Gabriel Charpentier	25	FW	Parma
Gabriel Strefezza	27	FW,MF	Como
Gabriel Vidovic	20	MF	Bayern Munich
Gabriel Vidovic	20	MF	Mainz 05
Gabriele Zappa	24	DF	Cagliari
Gaby Jean	24	DF	Lecce
Gaetano Castrovilli	27	MF	Monza
Gaetano Castrovilli	27	MF,FW	Lazio
Gaetano Oristanio	21	FW,MF	Venezia
Gastón Pereiro	29	MF	Genoa
Gerrit Holtmann	29	DF,FW	Bochum
Giacomo Raspadori	24	FW,MF	Napoli
Giangiacomo Magnani	28	DF	Hellas Verona
Gianluca Busio	22	MF	Venezia
Gianluca Caprari	31	MF,FW	Monza
Gianluca Gaetano	24	MF,FW	Cagliari
Gianluca Lapadula	34	FW,MF	Cagliari
Gianluca Mancini	28	DF	Roma
Gianluca Scamacca	25	FW	Atalanta
Gift Orban	22	FW	Hoffenheim
Gio Reyna	21	MF	Dortmund
Giorgio Altare	25	DF	Venezia
Giorgio Scalvini	20	DF	Atalanta
Giorgos Kyriakopoulos	28	DF	Monza
Giorgos Masouras	30	FW,MF	Bochum
Giovanni Di Lorenzo	30	DF	Napoli
Giovanni Fabbian	21	MF	Bologna
Giovanni Leoni	17	DF	Parma
Giovanni Simeone	29	FW	Napoli
Giuseppe Ciocci	22	GK	Cagliari
Giuseppe Pezzella	26	DF,FW	Empoli
Gleison Bremer	27	DF	Juventus
Granit Xhaka	31	MF	Leverkusen
Grant Ranos	21	FW	Gladbach
Gregor Kobel	26	GK	Dortmund
Grigoris Kastanos	26	MF,FW	Hellas Verona
