Player Name	Age	Position	Current Club
Manuel Neuer	38	GK	Bayern Munich
Marc-Oliver Kempf	29	DF	Como
Marcel Sabitzer	30	MF	Dortmund
Marco Brescianini	24	MF	Atalanta
Marco Carnesecchi	24	GK	Atalanta
Marco Friedl	26	DF	Werder Bremen
Marco Grüll	26	FW,MF	Werder Bremen
Marco Komenda	27	DF	Holstein Kiel
Marco Palestra	19	DF	Atalanta
Marco Sala	25	DF	Como
Marco Sala	25	DF	Lecce
Marco Silvestri	33	GK	Empoli
Marco Sportiello	32	GK	Milan
Marcus Pedersen	24	DF	Torino
Marcus Thuram	26	FW	Inter
Marin Ljubicic	22	FW,MF	Union Berlin
Marin Pongračić	26	DF	Fiorentina
Marin Šverko	26	DF	Venezia
Mario Balotelli	33	FW,MF	Genoa
Mario Gila	23	DF	Lazio
Mario Götze	32	MF,FW	Eint Frankfurt
Mario Hermoso	29	DF	Leverkusen
Mario Hermoso	29	DF	Roma
Mario Pašalić	29	MF	Atalanta
Marius Bülter	31	FW,DF	Hoffenheim
Marius Müller	31	GK	Wolfsburg
Marius Wolf	29	DF	Augsburg
Marko Arnautović	35	FW	Inter
Marko Ivezić	22	DF	Holstein Kiel
Marnon Busch	29	DF,MF	Heidenheim
Marten de Roon	33	MF,DF	Atalanta
Martin Erlic	26	DF	Bologna
Martin Frese	26	DF	Hellas Verona
Martin Terrier	27	MF,FW	Leverkusen
Martín Payero	25	MF	Udinese
Marvin Ducksch	30	FW	Werder Bremen
Marvin Friedrich	28	DF	Gladbach
Marvin Pieringer	24	FW,MF	Heidenheim
Marvin Schulz	29	MF,DF	Holstein Kiel
Matej Kovar	24	GK	Leverkusen
Mateo Pellegrino	23	FW	Parma
Mateo Retegui	25	FW	Atalanta
Mateusz Kowalski	19	MF	Parma
Mateusz Wieteska	27	DF	Cagliari
Mathias Honsak	27	FW,DF	Heidenheim
Mathias Løvik	20	DF,FW	Parma
Mathis Lambourde	18	FW,MF	Hellas Verona
Mathys Tel	19	FW,MF	Bayern Munich
Mathías Olivera	26	DF	Napoli
Matias Moreno	20	DF	Fiorentina
Mats Hummels	35	DF	Roma
Mats Pannewig	19	MF	Bochum
Matteo Cancellieri	22	FW,MF	Parma
Matteo Darmian	34	DF	Inter
Matteo Gabbia	24	DF	Milan
Matteo Palma	16	DF	Udinese
Matteo Pessina	27	MF	Monza
Matteo Politano	30	FW,MF	Napoli
Matteo Prati	20	MF	Cagliari
Matteo Ruggeri	22	DF	Atalanta
Matthias Braunöder	22	MF	Como
Matthias Ginter	30	DF	Freiburg
Mattia Bani	30	DF	Genoa
Mattia De Sciglio	31	DF	Empoli
Mattia Felici	23	MF,FW	Cagliari
Mattia Liberali	17	MF	Milan
Mattia Perin	31	GK	Juventus
Mattia Valoti	30	MF	Monza
Mattia Viti	22	DF	Empoli
Mattia Zaccagni	29	FW	Lazio
Mattias Svanberg	25	MF	Wolfsburg
Mattéo Guendouzi	25	MF	Lazio
Matìas Soulé	21	MF,DF	Roma
Matías Vecino	32	MF	Lazio
Matúš Bero	28	MF	Bochum
Maurides	30	FW	St. Pauli
Max Geschwill	23	DF	Holstein Kiel
Max Moerstedt		FW	Hoffenheim
Max Rosenfelder	21	DF	Freiburg
Maxence Caqueret	24	MF	Como
Maxim Leitsch	26	DF	Mainz 05
Maximilian Arnold	30	MF	Wolfsburg
Maximilian Bauer	24	DF	Augsburg
Maximilian Beier	21	FW,MF	Dortmund
Maximilian Breunig	23	FW,MF	Heidenheim
Maximilian Eggestein	27	MF	Freiburg
Maximilian Mittelstädt	27	DF	Stuttgart
Maximilian Philipp	30	MF,FW	Freiburg
Maximilian Wittek	28	DF	Bochum
Maxwel Cornet	27	FW,MF	Genoa
Medon Berisha	20	MF	Lecce
Mehdi Taremi	32	FW	Inter
Mergim Berisha	26	FW	Augsburg
Mergim Berisha	26	FW,MF	Hoffenheim
Merlin Röhl	22	MF,FW	Freiburg
Mert Kömür	19	MF	Augsburg
Michael Folorunsho	26	FW,MF	Fiorentina
Michael Folorunsho	26	FW,MF	Napoli
Michael Gregoritsch	30	FW	Freiburg
Michael Kayode	20	DF,FW	Fiorentina
Michael Olise	22	FW,MF	Bayern Munich
Michael Svoboda	25	DF	Venezia
Michael Zetterer	29	GK	Werder Bremen
Michel Aebischer	27	MF	Bologna
Michel Ndary Adopo	24	MF	Cagliari
Michele Di Gregorio	27	GK	Juventus
Michy Batshuayi	30	FW	Eint Frankfurt
Mikael Ellertsson	22	DF,MF	Venezia
Mike Maignan	29	GK	Milan
Mikkel Kaufmann	23	FW	Heidenheim
Milan Badelj	35	MF	Genoa
Milan Đurić	34	FW	Monza
Milan Đurić	34	FW	Parma
Mile Svilar	24	GK	Roma
Miloš Veljković	28	DF	Werder Bremen
Mirko Marić	29	FW	Venezia
Mirko Marić	29	FW,MF	Monza
Mitchel Bakker	24	MF	Atalanta
Mitchell Weiser	30	DF,MF	Werder Bremen
Mohamed Amoura	24	FW	Wolfsburg
Mohamed Haj	19	MF	Parma
Mohamed Kaba	22	MF	Lecce
Mohamed Simakan	24	DF	RB Leipzig
Moise Kean	24	FW	Fiorentina
Morgan Guilavogui	26	FW,MF	St. Pauli
Moritz Broschinski	23	FW,MF	Bochum
Moritz Jenz	25	DF	Mainz 05
Moritz Nicolas	26	GK	Gladbach
Moritz-Broni Kwarteng	26	MF,FW	Bochum
Morten Frendrup	23	MF	Genoa
Morten Thorsby	28	MF,FW	Genoa
Myron Boadu	23	FW	Bochum
Máximo Perrone	21	MF	Como
Mërgim Vojvoda	29	DF	Como
Mërgim Vojvoda	29	DF	Torino
Nadiem Amiri	27	MF	Mainz 05
Nadir Zortea	25	DF,MF	Cagliari
Nahuel Estévez	28	MF	Parma
Nathan N'Goumou	24	FW	Gladbach
Nathan Tella	25	MF,FW	Leverkusen
Nathaniel Brown	21	DF,MF	Eint Frankfurt
Nediljko Labrović	24	GK	Augsburg
Nehuén Pérez	24	DF	Udinese
Nelson Weiper	19	FW,MF	Mainz 05
Niccolò Pisilli	19	MF	Roma
Nicholas Pierini	25	MF	Venezia
Nick Woltemade	22	FW,MF	Stuttgart
Nico Elvedi	27	DF	Gladbach
Nico Schlotterbeck	24	DF	Dortmund
Nicola Leali	31	GK	Genoa
Nicola Pintus	19	DF	Cagliari
Nicola Sansone	32	MF,FW	Lecce
Nicola Zalewski	22	DF,FW	Roma
Nicola Zalewski	22	DF,MF	Inter
Nicolai Remberg	24	MF	Holstein Kiel
Nicolas Haas	28	MF	Empoli
Nicolas Höfler	34	MF	Freiburg
Nicolas Seiwald	23	MF,DF	RB Leipzig
Nicolas Viola	34	FW,MF	Cagliari
Nicolás González	26	FW,MF	Juventus
Nicolás Paz	19	MF,FW	Como
Nicolás Valentini	23	DF	Hellas Verona
Nicolò Barella	27	MF	Inter
Nicolò Cambiaghi	23	FW	Bologna
Nicolò Casale	26	DF	Bologna
Nicolò Casale	26	DF	Lazio
Nicolò Fagioli	23	MF	Fiorentina
Nicolò Fagioli	23	MF	Juventus
Nicolò Rovella	22	MF	Lazio
Nicolò Savona	21	DF	Juventus
Nicolò Zaniolo	25	FW	Fiorentina
Nicolò Zaniolo	25	FW,MF	Atalanta
Niels Nkounkou	23	DF,MF	Eint Frankfurt
Niklas Dorsch	26	MF	Augsburg
Niklas Dorsch	26	MF	Heidenheim
Niklas Stark	29	DF	Werder Bremen
Niklas Süle	28	DF	Dortmund
Nikola Krstović	24	FW	Lecce
Nikola Moro	26	MF	Bologna
Nikola Vasilj	28	GK	St. Pauli
Nikola Vlašić	26	MF,FW	Torino
Nikolas Nartey	24	MF	Stuttgart
Nikolas Veratschnig	21	DF,MF	Mainz 05
Nnamdi Collins	20	DF	Eint Frankfurt
Noah Atubolu	22	GK	Freiburg
Noah Okafor	24	FW	Milan
Noah Okafor	24	FW,MF	Napoli
Noah Pesch	19	FW	Gladbach
Noah Weißhaupt	22	FW	Freiburg
Noah Weißhaupt	22	FW,MF	St. Pauli
Noahkai Banks	17	DF	Augsburg
Nordi Mukiele	26	DF	Leverkusen
Norman Theuerkauf	37	MF	Heidenheim
Nuno Tavares	24	DF	Lazio
Nunzio Lella	24	MF	Venezia
Obite N'Dicka	24	DF	Roma
Odilon Kossounou	23	DF	Atalanta
Oier Zarraga	25	MF	Udinese
Ola Solbakken	25	MF,FW	Empoli
Oladapo Afolayan	26	FW,MF	St. Pauli
Oliver Abildgaard	28	MF	Como
Oliver Baumann	34	GK	Hoffenheim
Oliver Burke	27	FW	Werder Bremen
Oliver Nielsen	21	DF	Lazio
Olivier Deman	24	DF	Werder Bremen
Omar Marmoush	25	FW	Eint Frankfurt
Omar Traoré	26	DF	Heidenheim
Omari Forson	20	MF,FW	Monza
Ondrej Duda	29	MF	Hellas Verona
Oscar Højlund	19	MF	Eint Frankfurt
Oumar Solet	24	DF	Udinese
Oussama El Azzouzi	23	MF	Bologna
Pablo Marí	30	DF	Fiorentina
Pablo Marí	30	DF	Monza
Pascal Groß	33	MF,DF	Dortmund
Pascal Stenzel	28	DF	Stuttgart
Pasquale Mazzocchi	29	DF,FW	Napoli
Patric	31	DF	Lazio
Patrick Ciurria	29	MF,DF	Monza
Patrick Cutrone	26	FW	Como
Patrick Dorgu	19	DF,FW	Lecce
Patrick Drewes	31	GK	Bochum
Patrick Erras	29	DF	Holstein Kiel
Patrick Mainka	29	DF	Heidenheim
Patrick Osterhage	24	MF	Freiburg
Patrick Wimmer	23	MF,FW	Wolfsburg
Patrik Schick	28	FW	Leverkusen
Patrizio Masini	23	MF	Genoa
Paul Hennrich	19	MF	Hoffenheim
Paul Nebel	21	MF	Mainz 05
Paul Wanner	18	MF,FW	Heidenheim
Paulo Azzi	30	DF	Cagliari
Paulo Dybala	30	FW,MF	Roma
Pavel Kadeřábek	32	DF	Hoffenheim
Paweł Dawidowicz	29	DF,MF	Hellas Verona
Pedro	37	FW,MF	Lazio
Pedro Pereira	26	DF	Monza
Pepe Reina	41	GK	Como
Petar Stojanović	28	MF	Empoli
Phil Harres	22	FW	Holstein Kiel
Philip Billing	28	MF	Napoli
Philipp Hofmann	31	FW	Bochum
Philipp Lienhart	28	DF	Freiburg
Philipp Sander	26	MF	Gladbach
Philipp Treu	23	MF,DF	St. Pauli
Phillip Tietz	27	FW	Augsburg
Phillipp Mwene	30	DF	Mainz 05
Pierluigi Gollini	29	GK	Genoa
Piero Hincapié	22	DF	Leverkusen
Pierre Kalulu	24	DF	Juventus
Pietro Comuzzo	19	DF	Fiorentina
Pietro Pellegri	23	FW	Empoli
Pietro Terracciano	34	GK	Fiorentina
Piotr Zieliński	30	MF	Inter
Pontus Almqvist	25	FW,MF	Parma
Péter Gulácsi	34	GK	RB Leipzig
Rafa Marín	22	DF	Napoli
Rafael Leão	25	FW	Milan
Rafael Tolói	33	DF	Atalanta
Ramon Hendriks	23	DF	Stuttgart
Ramy Bensebaini	29	DF	Dortmund
Randal Kolo Muani	25	FW	Juventus
Rani Khedira	30	MF	Union Berlin
Raoul Bellanova	24	DF	Atalanta
Raoul Bellanova	24	DF	Torino
Raphaël Guerreiro	30	DF,MF	Bayern Munich
Rareș-Cătălin Burnete	20	FW	Lecce
Rasmus Kristensen	27	DF	Eint Frankfurt
Razvan Sava	22	GK	Udinese
Reda Belahyane	20	MF	Hellas Verona
Reda Belahyane	20	MF	Lazio
Remi Oudin	27	MF,FW	Lecce
Remo Freuler	32	MF	Bologna
Renato Veiga	21	DF	Juventus
Riccardo Orsolini	27	FW	Bologna
Riccardo Sottil	25	FW,MF	Fiorentina
Riccardo Sottil	25	FW,MF	Milan
Richie Sagrado	20	DF	Venezia
Ridgeciano Haps	31	DF	Venezia
Ridle Baku	26	DF,MF	RB Leipzig
Ridle Baku	26	FW,MF	Wolfsburg
Ritsu Doan	26	FW,MF	Freiburg
Robert Andrich	29	MF,DF	Leverkusen
Robert Gumny	26	DF	Augsburg
Robert Skov	28	DF,MF	Union Berlin
Robert Wagner	21	MF	St. Pauli
Roberto Gagliardini	30	MF,DF	Monza
Roberto Piccoli	23	FW	Cagliari
Robin Gosens	30	DF	Fiorentina
Robin Gosens	30	DF	Union Berlin
Robin Hack	25	FW,MF	Gladbach
Robin Hranáč	24	DF	Hoffenheim
Robin Koch	28	DF	Eint Frankfurt
Robin Zentner	29	GK	Mainz 05
Rocco Reitz	22	MF	Gladbach
Roland Sallai	27	FW,MF	Freiburg
Rolando Mandragora	27	MF	Fiorentina
Romano Schmid	24	MF	Werder Bremen
Romelu Lukaku	31	FW	Napoli
Ruben Loftus-Cheek	28	MF	Milan
Ruben Vargas	25	MF,FW	Augsburg
Rui Modesto	24	DF,MF	Udinese
Rui Patrício	36	GK	Atalanta
Ruslan Malinovskyi	31	MF,FW	Genoa
Răzvan Marin	28	MF	Cagliari
Saad El Haddad	19	MF	Venezia
Saba Goglichidze	20	DF	Empoli
Saba Sazonov	22	DF	Torino
Sacha Boey	23	DF	Bayern Munich
Salih Özcan	26	MF	Dortmund
Salih Özcan	26	MF	Wolfsburg
Sam Beukema	25	DF	Bologna
Samuel Bamba	20	FW,MF	Bochum
Samuel Chukwueze	25	FW,MF	Milan
Samuel Dahl	24	DF,MF	Roma
Samuel Essende	26	FW	Augsburg
Samuel Gigot	30	DF	Lazio
Samuel Iling-Junior	20	FW,MF	Bologna
Samuel Mbangula	20	FW	Juventus
Samuele Birindelli	25	DF,MF	Monza
Samuele Ricci	22	MF	Torino
Samuele Vignato	20	MF	Monza
Sandi Lovrić	26	MF	Udinese
Santiago Castro	19	FW	Bologna
Santiago Giménez	23	FW	Milan
Santiago Pierotti	23	FW	Lecce
Saud Abdulhamid	25	DF	Roma
Saúl Coco	25	DF	Torino
Scott Banks	22	FW,MF	St. Pauli
Scott McTominay	27	MF	Napoli
Sead Kolašinac	31	DF	Atalanta
Sebastiaan Bornauw	25	DF	Wolfsburg
Sebastian Otoa	20	DF	Genoa
Sebastian Walukiewicz	24	DF	Empoli
Sebastian Walukiewicz	24	DF	Torino
Sebastiano Esposito	22	FW,MF	Empoli
Sebastiano Luperto	27	DF	Cagliari
Semuel Pizzignacco	22	GK	Monza
Senne Lynen	25	MF	Werder Bremen
Serge Gnabry	29	FW,MF	Bayern Munich
Sergi Roberto	32	MF	Como
Sergiu Perciun	18	FW,MF	Torino
Serhou Guirassy	28	FW	Dortmund
Shiō Fukuda	20	FW	Gladbach
Shuto Machino	24	FW,MF	Holstein Kiel
Siebe Van Der Heyden	26	DF,MF	St. Pauli
Silvan Widmer	31	DF	Mainz 05
Silvère Ganvoula M'Boussy	28	FW	Monza
Simon Sohm	23	MF	Parma
Simone Pafundi	18	MF,DF	Udinese
Simone Perilli	29	GK	Hellas Verona
Simone Scuffet	28	GK	Cagliari
Simone Scuffet	28	GK	Napoli
Simone Verdi	32	MF,FW	Como
Sirlord Conteh	28	FW,MF	Heidenheim
Skelly Alvero	22	MF	Werder Bremen
Sofyan Amrabat	27	MF	Fiorentina
Souleymane Touré	21	DF	Udinese
Stanislav Lobotka	29	MF	Napoli
Stanley N'Soki	25	DF	Hoffenheim
Stefan Bell	32	DF	Mainz 05
Stefan Lainer	31	DF	Gladbach
Stefan Lekovic	20	DF	Monza
Stefan Posch	27	DF	Atalanta
Stefan Posch	27	DF	Bologna
Stefan Schimmer	30	FW,MF	Heidenheim
Stefan de Vrij	32	DF	Inter
Stefano Sabelli	31	DF	Genoa
Stefano Sensi	28	MF	Monza
Stefano Turati	22	GK	Monza
Stephan El Shaarawy	31	DF,MF	Roma
Steve Mounié	29	FW,MF	Augsburg
Steven Skrzybski	31	MF,FW	Holstein Kiel
Strahinja Pavlović	23	DF	Milan
Suat Serdar	27	MF	Hellas Verona
Sven Ulreich	35	GK	Bayern Munich
Szymon Żurkowski	26	MF	Empoli
Tajon Buchanan	25	DF,FW	Inter
Tammy Abraham	26	FW	Milan
Tammy Abraham	26	FW	Roma
Tete Morente	27	FW,MF	Lecce
Teun Koopmeiners	26	MF,FW	Juventus
Theo Hernández	26	DF	Milan
Thijs Dallinga	23	FW	Bologna
Thomas Campaniello	16	FW	Empoli
Thomas Dähne	30	GK	Holstein Kiel
Thomas Keller	24	DF,MF	Heidenheim
Thomas Kristensen	22	DF	Udinese
Thomas Müller	34	MF,FW	Bayern Munich
Tiago Cardoso	18	GK	Gladbach
Tiago Gabriel	19	DF	Lecce
Tiago Tomás	22	FW,MF	Wolfsburg
Tidiam Gomis	17	MF,FW	RB Leipzig
Tijjani Noslin	25	FW,MF	Lazio
Tijjani Reijnders	26	MF	Milan
Tim Breithaupt	22	MF	Augsburg
Tim Drexler	19	DF	Hoffenheim
Tim Kleindienst	28	FW	Gladbach
Tim Oermann	20	DF	Bochum
Tim Siersleben	24	DF	Heidenheim
Tim Skarke	27	FW,MF	Union Berlin
Timo Becker	27	DF	Holstein Kiel
Timo Horn	31	GK	Bochum
Timon Weiner	25	GK	Holstein Kiel
Timothy Chandler	34	DF	Eint Frankfurt
Timothy Weah	24	DF,FW	Juventus
Tobias Sippel	36	GK	Gladbach
Tom Bischof	19	MF,FW	Hoffenheim
Tom Krauß	23	MF	Bochum
Tom Rothe	19	DF,MF	Union Berlin
Tommaso Augello	29	DF	Cagliari
Tommaso Baldanzi	21	MF,FW	Roma
Tommaso Gabellini	17	FW	Torino
Tommaso Pobega	25	MF	Bologna
Tommaso Rubino	17	MF	Fiorentina
Tomás Palacios	21	DF	Inter
Tomás Palacios	21	DF	Monza
Tomáš Suslov	22	MF,FW	Hellas Verona
Tomáš Čvančara	23	FW	Gladbach
Tuta	25	DF,MF	Eint Frankfurt
Tymoteusz Puchacz	25	DF	Holstein Kiel
Tyronne Ebuehi	28	DF,MF	Empoli
Umut Tohumcu	19	MF,FW	Hoffenheim
Valentin Gendrey	24	DF	Hoffenheim
Valentin Gendrey	24	DF	Lecce
Valentin Mihaila	24	FW,MF	Parma
Valentino Lazaro	28	DF,FW	Torino
Valentín Castellanos	25	FW	Lazio
Vanja Milinković-Savić	27	GK	Torino
Vanja Vlahović	20	FW,MF	Atalanta
Vasilije Adžić	18	MF,FW	Juventus
Victor Boniface	23	FW	Leverkusen
Victor Nelsson	25	DF	Roma
Viggo Gebel	16	MF	RB Leipzig
Viktor Kovalenko	28	MF	Empoli
Vincenzo Grifo	31	FW,MF	Freiburg
Vitinha	24	FW,MF	Genoa
Waldemar Anton	28	DF	Dortmund
Walid Cheddira	26	FW	Napoli
Warren Bondo	20	MF	Milan
Warren Bondo	20	MF	Monza
Weston McKennie	25	MF,DF	Juventus
Willi Orban	31	DF	RB Leipzig
Wladimiro Falcone	29	GK	Lecce
Woyo Coulibaly	25	DF	Parma
Wylan Cyprien	29	MF	Parma
Xaver Schlager	26	MF	RB Leipzig
Xavi Simons	21	MF	RB Leipzig
Yacine Adli	24	MF	Fiorentina
Yan Couto	22	DF,FW	Dortmund
Yann Aurel Bisseck	23	DF	Inter
Yann Karamoh	26	MF,FW	Torino
Yann Sommer	35	GK	Inter
Yannick Gerhardt	30	MF,DF	Wolfsburg
Yannik Engelhardt	23	MF,DF	Como
Yannik Keitel	24	MF	Stuttgart
Yannik Lührs	20	DF	Dortmund
Yerry Mina	29	DF	Cagliari
Ylber Ramadani	28	MF	Lecce
Yllan Okou	21	DF	Hellas Verona
Yorbe Vertessen	23	MF,FW	Union Berlin
Yordan Osorio	30	DF	Parma
Youssef Maleh	25	MF	Empoli
Youssouf Fofana	25	MF	Milan
Yunus Musah	21	MF,FW	Milan
Yussuf Poulsen	30	FW,MF	RB Leipzig
Yusuf Kabadayı	20	FW,MF	Augsburg
Zeki Çelik	27	DF	Roma
Zion Suzuki	21	GK	Parma
Zito Luvumbo	22	FW,MF	Cagliari
Álex Grimaldo	28	DF	Leverkusen
Álex Valle	20	DF	Como
Álvaro Morata	31	FW,MF	Milan
Éderson	25	MF	Atalanta
Þórir Jóhann Helgason	23	MF	Lecce
Łukasz Skorupski	33	GK	Bologna
